Name	Title/Position	Affiliation	Location	Biography
Chan Yi Ngok 陳一諤 	Director - Pudong-Hong Kong Institute for Technology Transfer and Innovation (Hong 	Kong, China) 		Executive   Vice   Chairman - Guangdong-Hong   Kong-Macao   Greater   Bay   Area  Biotechnology Alliance (Hong Kong, China)    Mr. Chan Yi Ngok currently serves as the Chief Executive Officer of a Hong Kong-based health  technology  company  and  holds  leadership  positions  in  several  prominent  biotechnology  industry  associations  in  Hong  Kong.  He  has  overseen  the  organization  of  major  events  including BIOHK2022-2025 and the 3rd Conference of Global Health Forum of the Boao Forum  for Asia in 2024. Additionally, he is the founding director of the Pudong-Hongkong Institute  for Technology Transfer and Innovation, a joint initiative between Hong Kong Biotechnology  Organization and Shanghai Pudong Development (Group) Co., Ltd.     Beyond  his  biotech  engagements,  Mr.  Chan  is  a  managing  director  of  an  investment  fund  under a full licensed financial group regulated by the Securities and Futures Commission of  Hong  Kong.  He  collaborates  with  renowned  industrial  park  developers  in  Beijing  on  the  management of technology projects in the Chinese mainland. Prior to his enterprising ventures,  Mr.  Chan  was  a  partner  of  a  4As  advertising  agency  in  Singapore  steering  the  business  development  of  the  ASEAN  market,  and  worked  at  a  British  multinational  bank  providing  corporate financing solutions to ultra-high-net-worth individuals in real estate development  and investment sectors.    Mr.  Chan  holds  a  first  class  honours  degree  from  the  University  of  Hong  Kong,  along  with  advanced degrees from Peking University and the University of Oxford.

Benedita Chaves 	Director of Innovation and R&D Department - LIPOR (Porto, Portugal) 	 		Director of Innovation and R&D Department at LIPOR - a waste management company in the  Porto Region (Portugal).    Senior   Environmental Engineer,   with   experience   in   Strategy,   Execution,   Sustainability,  Innovation Management and Sustainable Product Development.    Implementing a business model change, focusing on new products based on municipal waste.    She likes to get things done and to create added value including for the environment and the  community, while making a better place out of the world.

André Antunes 	Acting Dean of Institute of Science and Environment - University of Saint Joseph (Macau, 	China) 		  André  Antunes  is  an  Associate  Professor  at  Institute  of  Science  and  Environment  of  the  University  of  Saint  Joseph.  He  is  an  expert  in  microbiology  of  marine  and  extreme  environments, having specialized in deep-sea and high salinity locations.    He  has  done  his  undergraduate  studies  in  Biology  at  the  University  of  Coimbra  (Portugal),  followed with a PhD in Biochemistry (Microbiology) at the same institution but with his PhD  research   work   being   conducted   at   the   prestigious   Lehrstuhl   für   Mikrobiologie   und  Archaeenzentrum of the University of Regensburg (Germany). His research career has included  periods  of  work  in  several  countries  in  Europe,  as  well  as  in  Africa,  and  in  the  Middle  East.  Before  his  current appointment  he had  previous faculty  positions in  Cabo  Verde,  in  the UK,  and at the State Key Laboratory of Lunar and Planetary Sciences at Macau University of Science  and Technology (MUST), where he was the leader of the Astrobiology Research Group and the  coordinator of the Astrobiology and Cosmochemistry Experimental Platforms.    He has  extensive  experience with  international collaborations,  having participated as PI  and  team member of several research projects across the globe and having joined and lead several  research expeditions and cruises. As part of these, he previously worked as project manager,  being  involved  in  the  national  and  European  coordination  of  the  ESFRI  EU-funded  project  MIRRI (Microbial Resource Research Infrastructure), as well as being involved with the ESFRI  EU-funded  project  RItrain  (Reseach  Infrastructures  Training  Programme).  He  also  acted  as  consultant  and  invited  committee  member  for  NASA,  ESA,  and  the  European  Science  Foundation. Furthermore, he is an elected member of the Communications Committee of the  Microbiology   Society,   Chair   of   the   Ocean   Sustainability   Advisory   Group   and   Global  Ambassador  for  Applied  Microbiology  International,  and  editorial  member  for  a  variety  of  leading journals in his field.    Selected research highlights:   i) New species and higher-ranked taxa: two new orders, one possible new phylum;  ii)  Novel  characteristics  relevant  for  biotechnology  and  cellular  physiology:  New  cellular  contractility  cycle;  first  Halobacteria  preferring  anaerobiosis;  first  prokaryotes  accumulating  glycerol;  iii) -Omics based analysis: first genomics and proteomics studies in deep-sea brines;  iv)   Bioprospection:   New   strains   with   cytotoxic   and   apoptotic   activity;   in   silico-based  exploration for biosynthetic gene clusters; studies in biogenic carbonate production.  v) New computer-based and experimental tools: Portal for microbial knowledge exploration;  data  analysis  tool  for  microbial  genomes;  database  on  halophilic  archaea,  as  well  as  an  innovative microbial isolation technique).

Maria Manuela Estevez Pintado 	Head  of  CBQF – Centre  of  Biotechnology  and  Fine  Chemistry – Universidade  Católica 	Portuguesa (Porto, Portugal) 		  Maria  Manuela  Estevez  Pintado  is  a  Professor  of  the  College  of  Biotechnology  of  the  Portuguese  Catholic  University  (ESB-UCP)  since  2005.  In  2017,  she  became  the  director  of  CBQF (Chemistry and Biotechnology Center – State Associate Laboratory), a ESB UCP research  unit  as  well  as  Associate  Director  of  ESB  UCP.  She  was  a  member  of  the  Research  and  Internationalization  Group  of UCP  (2014-2016).  She  has  established  strong  interaction  with  industry and she has been Coordinator of Department of Scientific Services for Industry (SETIF)  (2013-2016). Additionally, she has been an invited professor at Paraíba Federal University (2012  and from 2014 to 2016).    She has a B.Sc. in Pharmacy from the Faculty of Pharmacy of the University of Porto (1991) and  finished  her Ph.D.  in Biotechnology  (in the  field of  Food Science and Engineering)  from the  Portuguese Catholic University in 1999. In the same year (until 2002) she obtained a Post-doc  research  position.  She  coordinated  the  Task  Force  of  Dairy  Products  of  the  College  of  Biotechnology Industry Association (AESBUC; 2000-2005).    Her research interests include Biotechnology and Biochemistry - carry out research in a range  of    key    technologies    for    the    production,    characterization,    and    preservation    of  industrially/traditionally processed products. The research can be summarized into:   (i) development  and  compositional  characterization  and  validation  of  bioactivity  of  functional  ingredients  (proteins  and  biopeptides,  antioxidants,  probiotics,  prebiotics  and  antimicrobials) and study applications on the development of novel functional foods   (ii) by-product  upgrading  through  bioprocesses  and  extraction  processes  aiming  to  obtain high-added value products   (iii) microbiology  and  biochemistry  in  food  field,  including  key  technologies  for  the  production, characterization, and safety issues of products and   (iv) application of the above research developments to other Biotechnological fields.

Luís Rochartre Álvares 	Senior Advisor - Planetiers New Generation (Lisbon, Portugal) 	 		Luis  Rochartre  Álvares - Forestry  engineer  (UTAD),  postgraduate  in  Sustainability  at  the  Stanford Graduate School of Business and Harvard Business School. He is currently Chairman  of the Sustainability Committee at Mota-Engil, Senior Advisor at Planetiers New Generation e  Novais  Law  firm,  Senior  Consultant  at  Von  Rohr  &  Associates  (Geneve),  Partner  &  Head  of  Sustainability at Unobvious Solutions, Sustainable Transformation Leader at Finitor Consulting,  Portugal  Local  Partner  at  GlobeScan  (Toronto),  Business  Partner  at  SFORI,  Sustainability  Practice Advisor at Epic Talent Society and Sustainability Curator at Spinn.    Visiting Professor at ISEG - Lisbon School of Economics & Management and Industry Fellow  at Católica Porto Business School. He also participates in The Natural Step Portugal, Build Up  Labs, AGRIFOOD4FUTURE, Zero Emissions World, Help Images, C-Level Mentorship Academy,  AGAVI, CITAB/UTAD and Colab Forest Wise.

Deepa Alex Mora 	Founder  and  Managing  Director - BioMyne – Biotech  Innovation  and  Engineering 	Limited (Macau, China) 		  Deepa  Mora  is  the  founder  of  BioMyne,  a  Macau-based  biotechnology  firm  pioneering  sustainable  solutions  through  advanced  resource  valorization.  With  expertise  in  plant  molecular biology and cross-border collaborations, BioMyne bridges scientific innovation and  industrial  applications—from  bioactive  compound  discovery  to  eco-material  development.  Deepa partners with institutions like the University of Macau, MUST, MPU, USJ and Portuguese  universities to drive scalable, circular bioeconomy models.  Deepa actively promotes circular  economy  principles,  co-organizing the  2024  Biotech  Innovation  &  Sustainability  Forum  and  sharing insights via columns in Macau Business and Hong Kong Examiner.

Débora Campos 	Founder & CEO - AgroGrIN Tech (Porto, Portugal) 	 		Doctor Debora holds her PhD in Biotechnology and Food Science, from Portuguese Catholic  University  (UCP),  with  over  12  years  of  experience  in  biotechnology  R&D  at  green  and  sustainable  technologies.  She  began  her  professional  career  as  a  fellow  researcher  at  CBQF  (Center of Biotechnology and Fine Chemistry), progressing to PhD and later post-doc. While  working  as  a  researcher,  she  started  her  entrepreneurial  career,  by  launching  the  AgroGrIN  Tech, a startup transferring novel technologies to the industry aiming the efficient upcycling  fruit waste and by-products.     She published 47 research/ review articles in refereed international journals and authored 9  chapters in handbooks on these topics, edited 1 book, and is the author 1 granted European  patent, has an h-index of 23 and guest editor of several special issues from MDPI, Frontiers  and Elsevier. She integrated several R&D projects nationally and internationally, which enable  her  to  be  involved  in  collaborations  with  multiple  Universities  and  Research  Centers,  companies and associations/ technology clusters.

Isabel Braga da Cruz 	Pro-Rector for Sustainability, UCP Porto (Porto, Portugal) 	 		Isabel Braga da Cruz is currently part of the Universidade Católica Portuguesa (UCP) Rector’s  team, serving as Pro-Rector, with responsibility for the Porto Regional Centre (since 2017) and  the  Sustainability  at  UCP  (since  2024).  She  was  the  Executive  Director  (2016-2017)  and  Executive Coordinator of the Knowledge Division (2010-2016) of PortugalFoods: Portuguese  Agri-Food Cluster.  Throughout  her  career,  she  has  worked  extensively  with  industry  in  technology  transfer,  identifying technological  and  market  opportunities,  and  fostering partnerships  between  the  industrial  sector  and  academia,  with  the  goal  of  promoting  innovation  and  increasing  the  technological index and competitiveness of companies.     As an entrepreneur, she was a founding partner of two companies: WEDOTECH (2006-2019)  and WEDOEKO (2015-2019).     Isabel  Braga  da  Cruz  holds  a  PhD  in  Biotechnology  from  UCP,  in  collaboration  with  Nestlé  Research  Centre  (Switzerland, 2006);  and  a  Postgraduate  degree  in  Management,  COHITEC  Programme - ""Turning  Technologies  into  Business"",  (2004)  from  North  Caroline  State  University and COTEC Portugal. She holds a Master’s in Food Science and Engineering (1996),  and a Bachelor's degree in Food Engineering (1994) from the Escola Superior de Biotecnologia  (ESB/UCP).     Throughout  her  professional  career,  she  has  played  an  active  role  with  public  authorities,  business community, and academia, participating as an expert and/or serving on advisory and  scientific  committees  related  to  the  Portuguese  agri-food  sector  and  innovation.  She  is  a  member of the UCP Board of Trustees and the Financial Management Council. Among others,  she is a member of the Advisory Committee of COTEC-Portugal, the Portuguese Development  Bank,  the  Portuguese  Association  for  Certification  (APCER);  and  the  Regional  Innovation  Council of S3 NORTE, representing the Agro-Environmental Systems and Food platform.    March, 2025   
